Latitude (decimal degrees):	-33.843
Longitude (decimal degrees):	18.834
Elevation (m):	202
Radiation database:	PVGIS-SARAH3


Slope: 29 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230104:0002,0.0,0.0,0.0,17.63,1.86,0.0
20230104:0102,0.0,0.0,0.0,17.45,2.07,0.0
20230104:0202,0.0,0.0,0.0,16.98,1.72,0.0
20230104:0302,0.0,0.0,0.0,16.72,1.24,0.0
20230104:0402,5.3,16.39,3.38,16.54,1.17,0.0
20230104:0502,172.59,229.14,14.98,16.74,1.72,0.0
20230104:0602,296.19,374.01,27.06,17.23,2.0,0.0
20230104:0702,446.27,558.46,39.42,18.3,2.62,0.0
20230104:0802,560.06,704.23,51.87,19.11,2.9,0.0
20230104:0902,565.03,714.8,64.05,19.82,3.1,0.0
20230104:1002,655.11,830.8,74.83,19.88,3.38,0.0
20230104:1102,670.77,851.14,78.53,20.36,3.66,0.0
20230104:1202,670.25,845.53,70.52,20.06,3.86,0.0
20230104:1302,610.82,766.21,58.86,20.18,4.07,0.0
20230104:1402,538.58,670.16,46.5,19.57,4.28,0.0
20230104:1502,263.73,332.37,34.07,19.16,4.48,0.0
20230104:1602,245.67,313.17,21.8,18.3,4.55,0.0
20230104:1702,167.0,230.28,9.9,17.32,4.34,0.0
20230104:1802,0.0,0.0,0.0,16.39,4.07,0.0
20230104:1902,0.0,0.0,0.0,15.92,3.52,0.0
20230104:2002,0.0,0.0,0.0,15.57,3.52,0.0
20230104:2102,0.0,0.0,0.0,15.04,3.59,0.0
20230104:2202,0.0,0.0,0.0,14.57,3.17,0.0
20230104:2302,0.0,0.0,0.0,14.27,3.24,0.0
20230105:0002,0.0,0.0,0.0,14.04,2.97,0.0
20230105:0102,0.0,0.0,0.0,13.75,3.17,0.0
20230105:0202,0.0,0.0,0.0,13.58,3.38,0.0
20230105:0302,0.0,0.0,0.0,13.48,3.31,0.0
20230105:0402,6.52,18.22,3.24,13.46,3.24,0.0
20230105:0502,242.61,313.68,14.84,14.03,3.86,0.0
20230105:0602,390.48,481.89,26.92,15.06,4.41,0.0
20230105:0702,474.16,580.52,39.29,16.44,4.69,0.0
20230105:0802,574.19,705.24,51.73,17.6,5.1,0.0
20230105:0902,591.5,731.29,63.91,18.32,5.31,0.0
20230105:1002,556.49,691.58,74.68,19.02,5.45,0.0
20230105:1102,540.39,672.69,78.45,19.45,5.59,0.0
20230105:1202,624.21,776.89,70.53,19.6,5.52,0.0
20230105:1302,580.62,718.49,58.9,19.15,5.52,0.0
20230105:1402,523.45,645.73,46.55,19.04,5.45,0.0
20230105:1502,428.55,531.0,34.11,18.99,5.38,0.0
20230105:1602,328.91,417.22,21.83,18.22,4.9,0.0
20230105:1702,174.73,240.25,9.92,17.25,4.55,0.0
20230105:1802,0.0,0.0,0.0,16.48,3.45,0.0
20230105:1902,0.0,0.0,0.0,16.41,3.72,0.0
20230105:2002,0.0,0.0,0.0,16.01,3.59,0.0
20230105:2102,0.0,0.0,0.0,15.61,3.38,0.0
20230105:2202,0.0,0.0,0.0,15.41,3.17,0.0
20230105:2302,0.0,0.0,0.0,15.19,2.97,0.0
20230106:0002,0.0,0.0,0.0,15.05,3.03,0.0
20230106:0102,0.0,0.0,0.0,14.7,2.9,0.0
20230106:0202,0.0,0.0,0.0,14.6,2.97,0.0
20230106:0302,0.0,0.0,0.0,14.41,2.69,0.0
20230106:0402,5.38,16.39,3.09,14.16,2.62,0.0
20230106:0502,239.02,312.2,14.69,15.07,2.9,0.0
20230106:0602,383.95,479.85,26.78,16.8,3.66,0.0
20230106:0702,500.54,621.37,39.15,18.57,4.07,0.0
20230106:0802,590.36,738.22,51.59,20.07,4.14,0.0
20230106:0902,653.26,824.58,63.77,21.57,4.41,0.0
20230106:1002,683.81,871.75,74.53,23.24,4.62,0.0
20230106:1102,690.25,887.26,78.35,24.23,4.34,0.0
20230106:1202,661.64,854.68,70.53,25.33,4.14,0.0
20230106:1302,614.45,792.38,58.93,25.74,4.07,0.0
20230106:1402,542.65,695.29,46.58,25.58,4.34,0.0
20230106:1502,440.51,563.63,34.14,24.87,4.62,0.0
20230106:1602,318.24,414.8,21.86,23.55,4.62,0.0
20230106:1702,166.14,234.41,9.94,21.93,4.07,0.0
20230106:1802,0.0,0.0,0.0,20.34,4.0,0.0
20230106:1902,0.0,0.0,0.0,19.22,3.45,0.0
20230106:2002,0.0,0.0,0.0,18.27,3.17,0.0
20230106:2102,0.0,0.0,0.0,17.43,2.97,0.0
20230106:2202,0.0,0.0,0.0,16.62,2.69,0.0
20230106:2302,0.0,0.0,0.0,15.83,2.41,0.0
20230107:0002,0.0,0.0,0.0,15.01,2.21,0.0
20230107:0102,0.0,0.0,0.0,14.24,2.28,0.0
20230107:0202,0.0,0.0,0.0,13.71,2.34,0.0
20230107:0302,0.0,0.0,0.0,13.31,2.34,0.0
20230107:0402,5.42,16.39,2.94,13.1,2.41,0.0
20230107:0502,237.53,311.25,14.55,15.02,2.34,0.0
20230107:0602,382.54,483.07,26.64,18.17,3.1,0.0
20230107:0702,492.28,625.35,39.01,21.43,2.9,0.0
20230107:0802,575.98,746.8,51.45,24.16,2.48,0.0
20230107:0902,625.48,830.64,63.62,26.39,2.0,0.0
20230107:1002,650.54,881.86,74.37,28.06,1.59,0.0
20230107:1102,653.26,890.1,78.25,29.29,1.72,0.0
20230107:1202,632.65,861.98,70.53,30.15,1.79,0.0
20230107:1302,586.81,795.88,58.95,30.6,1.79,0.0
20230107:1402,520.87,698.65,46.62,30.51,2.07,0.0
20230107:1502,423.62,563.68,34.17,29.85,2.48,0.0
20230107:1602,307.71,414.49,21.89,28.55,2.83,0.0
20230107:1702,164.34,238.2,9.96,26.63,2.69,0.0
20230107:1802,0.0,0.0,0.0,24.5,2.69,0.0
20230107:1902,0.0,0.0,0.0,22.39,2.76,0.0
20230107:2002,0.0,0.0,0.0,21.2,2.69,0.0
20230107:2102,0.0,0.0,0.0,20.11,2.41,0.0
20230107:2202,0.0,0.0,0.0,19.08,2.0,0.0
20230107:2302,0.0,0.0,0.0,18.01,1.93,0.0
20230108:0002,0.0,0.0,0.0,17.08,1.93,0.0
20230108:0102,0.0,0.0,0.0,16.34,1.93,0.0
20230108:0202,0.0,0.0,0.0,15.77,1.93,0.0
20230108:0302,0.0,0.0,0.0,15.29,1.93,0.0
20230108:0402,4.28,14.57,2.79,14.97,1.93,0.0
20230108:0502,234.01,310.96,14.4,16.9,1.66,0.0
20230108:0602,372.44,485.21,26.49,21.65,1.31,0.0
20230108:0702,473.24,626.6,38.86,25.11,0.83,0.0
20230108:0802,547.43,744.71,51.31,28.3,0.62,0.0
20230108:0902,606.92,828.81,63.47,30.42,1.52,0.0
20230108:1002,643.02,880.95,74.21,31.62,2.07,0.0
20230108:1102,650.53,889.38,78.15,31.97,2.41,0.0
20230108:1202,637.21,865.31,70.52,31.74,2.62,0.0
20230108:1302,594.71,798.43,58.97,31.0,2.76,0.0
20230108:1402,527.79,701.44,46.64,29.96,2.69,0.0
20230108:1502,428.44,566.14,34.2,28.73,2.69,0.0
20230108:1602,309.44,414.16,21.91,27.22,2.83,0.0
20230108:1702,164.4,236.54,9.97,25.14,2.97,0.0
20230108:1802,0.0,0.0,0.0,22.83,2.9,0.0
20230108:1902,0.0,0.0,0.0,21.21,3.03,0.0
20230108:2002,0.0,0.0,0.0,20.36,2.69,0.0
20230108:2102,0.0,0.0,0.0,19.71,2.34,0.0
20230108:2202,0.0,0.0,0.0,19.11,2.07,0.0
20230108:2302,0.0,0.0,0.0,18.43,1.93,0.0
20230109:0002,0.0,0.0,0.0,17.68,1.79,0.0
20230109:0102,0.0,0.0,0.0,17.07,1.66,0.0
20230109:0202,0.0,0.0,0.0,16.58,1.66,0.0
20230109:0302,0.0,0.0,0.0,16.13,1.59,0.0
20230109:0402,3.75,13.66,2.63,15.59,1.52,0.0
20230109:0502,228.66,305.64,14.24,17.06,1.1,0.0
20230109:0602,365.88,477.51,26.34,21.56,1.1,0.0
20230109:0702,478.92,620.47,38.72,23.25,1.79,0.0
20230109:0802,564.12,738.89,51.16,24.59,1.79,0.0
20230109:0902,617.01,820.28,63.32,26.12,1.79,0.0
20230109:1002,652.06,875.09,74.05,27.71,2.07,0.0
20230109:1102,659.13,887.5,78.03,28.89,2.34,0.0
20230109:1202,637.71,856.7,70.5,29.57,2.55,0.0
20230109:1302,595.85,793.79,58.99,29.56,2.76,0.0
20230109:1402,527.15,693.77,46.67,28.63,2.97,0.0
20230109:1502,430.67,562.9,34.22,27.06,3.03,0.0
20230109:1602,307.7,407.78,21.92,25.15,2.83,0.0
20230109:1702,164.46,234.93,9.97,23.14,2.41,0.0
20230109:1802,0.0,0.0,0.0,21.2,1.79,0.0
20230109:1902,0.0,0.0,0.0,20.02,1.45,0.0
20230109:2002,0.0,0.0,0.0,19.41,1.24,0.0
20230109:2102,0.0,0.0,0.0,18.74,0.97,0.0
20230109:2202,0.0,0.0,0.0,18.72,0.62,0.0
20230109:2302,0.0,0.0,0.0,18.56,0.55,0.0
20230110:0002,0.0,0.0,0.0,18.28,0.55,0.0
20230110:0102,0.0,0.0,0.0,17.95,0.34,0.0
20230110:0202,0.0,0.0,0.0,17.75,0.41,0.0
20230110:0302,0.0,0.0,0.0,17.02,0.76,0.0
20230110:0402,3.23,12.75,2.47,16.57,0.9,0.0
20230110:0502,173.64,234.09,14.09,17.64,0.76,0.0
20230110:0602,247.47,319.16,26.19,19.23,1.03,0.0
20230110:0702,469.44,602.79,38.57,20.61,1.38,0.0
20230110:0802,567.06,733.66,51.01,22.34,1.86,0.0
20230110:0902,628.24,821.09,63.16,23.91,2.21,0.0
20230110:1002,661.0,873.0,73.88,25.36,2.34,0.0
20230110:1102,667.74,886.1,77.9,26.41,2.48,0.0
20230110:1202,648.23,858.58,70.47,26.95,2.62,0.0
20230110:1302,602.16,792.31,59.0,26.95,2.69,0.0
20230110:1402,534.15,696.02,46.68,26.34,2.83,0.0
20230110:1502,432.24,561.49,34.24,25.26,2.69,0.0
20230110:1602,312.67,413.0,21.93,23.93,2.48,0.0
20230110:1702,164.15,234.05,9.97,22.36,2.21,0.0
20230110:1802,0.0,0.0,0.0,20.7,2.0,0.0
20230110:1902,0.0,0.0,0.0,19.87,2.28,0.0
20230110:2002,0.0,0.0,0.0,19.19,2.07,0.0
20230110:2102,0.0,0.0,0.0,18.6,1.79,0.0
20230110:2202,0.0,0.0,0.0,17.81,1.66,0.0
20230110:2302,0.0,0.0,0.0,16.94,1.52,0.0
20230111:0002,0.0,0.0,0.0,16.25,1.45,0.0
20230111:0102,0.0,0.0,0.0,15.73,1.45,0.0
20230111:0202,0.0,0.0,0.0,15.33,1.45,0.0
20230111:0302,0.0,0.0,0.0,15.24,1.38,0.0
20230111:0402,1.84,10.02,2.31,15.23,1.31,0.0
20230111:0502,171.49,230.79,13.93,16.78,0.97,0.0
20230111:0602,347.07,455.48,26.04,21.32,0.48,0.0
20230111:0702,377.27,492.95,38.42,23.29,0.62,0.0
20230111:0802,492.62,651.41,50.86,25.47,1.1,0.0
20230111:0902,299.18,395.19,63.0,26.99,1.72,0.0
20230111:1002,287.94,382.34,73.7,28.03,1.86,0.0
20230111:1102,301.06,400.92,77.77,28.46,1.66,0.0
20230111:1202,424.49,564.27,70.44,27.89,1.72,0.0
20230111:1302,226.19,302.59,59.0,27.83,1.72,0.0
20230111:1402,500.33,663.91,46.7,27.76,1.66,0.0
20230111:1502,188.87,254.02,34.25,27.33,2.21,0.0
20230111:1602,103.57,146.93,21.94,26.14,2.69,0.0
20230111:1702,73.1,111.44,9.97,24.4,2.83,0.0
20230111:1802,0.0,0.0,0.0,22.74,2.83,0.0
20230111:1902,0.0,0.0,0.0,22.19,2.48,0.0
20230111:2002,0.0,0.0,0.0,21.82,2.07,0.0
20230111:2102,0.0,0.0,0.0,21.48,2.14,0.0
20230111:2202,0.0,0.0,0.0,21.11,1.86,0.0
20230111:2302,0.0,0.0,0.0,20.6,1.79,0.0
20230112:0002,0.0,0.0,0.0,19.97,1.72,0.0
20230112:0102,0.0,0.0,0.0,19.44,1.79,0.0
20230112:0202,0.0,0.0,0.0,19.34,1.59,0.0
20230112:0302,0.0,0.0,0.0,19.11,1.31,0.0
20230112:0402,1.78,10.02,2.14,19.54,0.9,0.0
20230112:0502,131.84,182.77,13.78,20.07,0.83,0.0
20230112:0602,36.37,60.76,25.89,21.87,2.0,0.0
20230112:0702,191.42,250.5,38.27,22.34,3.31,0.0
20230112:0802,546.28,693.79,50.71,23.09,3.93,0.0
20230112:0902,606.06,774.63,62.84,23.91,4.14,0.0
20230112:1002,611.59,785.47,73.52,24.66,4.48,0.0
20230112:1102,114.83,159.51,77.63,25.19,4.69,0.0
20230112:1202,645.24,828.0,70.4,25.49,4.9,0.0
20230112:1302,602.99,769.88,59.0,25.1,4.83,0.0
20230112:1402,419.99,535.03,46.7,24.55,4.76,0.0
20230112:1502,426.83,544.45,34.26,23.71,4.28,0.0
20230112:1602,302.33,394.8,21.94,22.71,3.86,0.0
20230112:1702,156.83,223.15,9.96,21.22,3.24,0.0
20230112:1802,0.0,0.0,0.0,19.89,2.41,0.0
20230112:1902,0.0,0.0,0.0,18.86,2.14,0.0
20230112:2002,0.0,0.0,0.0,18.27,2.14,0.0
20230112:2102,0.0,0.0,0.0,17.66,1.66,0.0
20230112:2202,0.0,0.0,0.0,16.94,1.1,0.0
20230112:2302,0.0,0.0,0.0,16.5,0.83,0.0
20230113:0002,0.0,0.0,0.0,16.73,0.55,0.0
20230113:0102,0.0,0.0,0.0,16.43,0.62,0.0
20230113:0202,0.0,0.0,0.0,16.11,0.41,0.0
20230113:0302,0.0,0.0,0.0,15.85,0.34,0.0
20230113:0402,0.6,7.29,1.97,15.51,0.21,0.0
20230113:0502,192.61,259.15,13.61,15.88,0.34,0.0
20230113:0602,348.46,448.07,25.73,17.73,0.83,0.0
20230113:0702,470.93,602.77,38.12,19.99,1.45,0.0
20230113:0802,561.85,724.43,50.55,21.75,1.86,0.0
20230113:0902,624.02,813.21,62.68,23.27,2.14,0.0
20230113:1002,659.56,866.34,73.34,24.58,2.41,0.0
20230113:1102,667.96,879.96,77.48,25.44,2.62,0.0
20230113:1202,647.96,849.65,70.35,25.73,2.9,0.0
20230113:1302,603.45,784.68,58.99,25.53,3.1,0.0
20230113:1402,536.52,691.13,46.71,24.8,3.24,0.0
20230113:1502,432.98,556.99,34.26,23.8,3.1,0.0
20230113:1602,309.67,406.49,21.93,22.73,2.83,0.0
20230113:1702,161.69,230.35,9.94,21.41,2.76,0.0
20230113:1802,0.0,0.0,0.0,19.83,2.48,0.0
20230113:1902,0.0,0.0,0.0,18.9,2.83,0.0
20230113:2002,0.0,0.0,0.0,18.19,2.55,0.0
20230113:2102,0.0,0.0,0.0,17.61,2.41,0.0
20230113:2202,0.0,0.0,0.0,17.15,2.34,0.0
20230113:2302,0.0,0.0,0.0,16.8,2.28,0.0
20230114:0002,0.0,0.0,0.0,16.57,2.14,0.0
20230114:0102,0.0,0.0,0.0,16.8,2.41,0.0
20230114:0202,0.0,0.0,0.0,16.96,2.28,0.0
20230114:0302,0.0,0.0,0.0,17.04,2.34,0.0
20230114:0402,0.0,0.91,1.8,16.89,2.34,0.0
20230114:0502,105.32,146.64,13.45,17.78,2.55,0.0
20230114:0602,265.98,339.47,25.58,19.31,3.17,0.0
20230114:0702,421.57,533.39,37.96,21.31,3.31,0.0
20230114:0802,550.79,704.36,50.4,23.36,3.24,0.0
20230114:0902,610.49,792.77,62.51,25.23,3.1,0.0
20230114:1002,638.95,838.44,73.15,26.81,3.24,0.0
20230114:1102,652.5,858.58,77.32,27.85,3.59,0.0
20230114:1202,633.38,829.59,70.29,28.13,4.0,0.0
20230114:1302,591.29,768.08,58.97,27.97,4.41,0.0
20230114:1402,517.92,667.36,46.7,27.3,4.76,0.0
20230114:1502,423.18,544.28,34.25,26.0,4.97,0.0
20230114:1602,300.55,394.61,21.92,24.46,5.03,0.0
20230114:1702,150.42,215.68,9.92,22.73,4.83,0.0
20230114:1802,0.0,0.0,0.0,21.05,3.86,0.0
20230114:1902,0.0,0.0,0.0,20.07,4.07,0.0
20230114:2002,0.0,0.0,0.0,19.41,4.0,0.0
20230114:2102,0.0,0.0,0.0,18.93,3.66,0.0
20230114:2202,0.0,0.0,0.0,18.5,3.45,0.0
20230114:2302,0.0,0.0,0.0,18.13,3.31,0.0
20230115:0002,0.0,0.0,0.0,17.81,3.24,0.0
20230115:0102,0.0,0.0,0.0,17.59,3.24,0.0
20230115:0202,0.0,0.0,0.0,17.54,3.31,0.0
20230115:0302,0.0,0.0,0.0,17.46,3.24,0.0
20230115:0402,0.0,5.46,1.63,17.29,3.1,0.0
20230115:0502,212.0,286.53,13.29,18.11,3.17,0.0
20230115:0602,322.18,410.41,25.42,19.79,3.86,0.0
20230115:0702,461.39,581.99,37.81,21.79,4.28,0.0
20230115:0802,559.69,712.18,50.24,23.74,4.14,0.0
20230115:0902,614.27,794.29,62.34,25.79,3.86,0.0
20230115:1002,645.19,847.86,72.96,27.87,3.66,0.0
20230115:1102,646.78,855.18,77.15,28.87,3.66,0.0
20230115:1202,618.64,819.51,70.23,29.93,3.79,0.0
20230115:1302,573.06,756.23,58.95,30.35,4.0,0.0
20230115:1402,529.56,694.84,46.69,30.15,4.28,0.0
20230115:1502,378.68,496.6,34.25,29.32,4.41,0.0
20230115:1602,141.22,195.01,21.91,27.97,4.41,0.0
20230115:1702,150.73,220.39,9.89,26.15,4.0,0.0
20230115:1802,0.0,0.0,0.0,24.09,4.28,0.0
20230115:1902,0.0,0.0,0.0,22.61,4.14,0.0
20230115:2002,0.0,0.0,0.0,21.33,3.79,0.0
20230115:2102,0.0,0.0,0.0,20.45,3.66,0.0
20230115:2202,0.0,0.0,0.0,19.73,3.52,0.0
20230115:2302,0.0,0.0,0.0,19.15,3.38,0.0
20230116:0002,0.0,0.0,0.0,18.68,3.1,0.0
20230116:0102,0.0,0.0,0.0,18.53,2.76,0.0
20230116:0202,0.0,0.0,0.0,18.27,2.48,0.0
20230116:0302,0.0,0.0,0.0,17.96,2.34,0.0
20230116:0402,0.0,4.55,1.46,17.65,2.14,0.0
20230116:0502,191.02,261.06,13.12,19.0,2.21,0.0
20230116:0602,337.03,436.64,25.26,21.08,2.28,0.0
20230116:0702,447.62,581.5,37.65,24.45,2.07,0.0
20230116:0802,528.69,699.31,50.08,27.48,1.93,0.0
20230116:0902,575.05,784.97,62.17,30.4,1.24,0.0
20230116:1002,577.71,810.99,72.76,32.57,0.62,0.0
20230116:1102,601.5,849.08,76.98,33.86,0.83,0.0
20230116:1202,590.22,826.33,70.16,34.66,1.31,0.0
20230116:1302,552.67,762.22,58.92,34.87,1.93,0.0
20230116:1402,490.37,664.91,46.68,34.42,2.76,0.0
20230116:1502,398.72,535.8,34.23,33.05,3.45,0.0
20230116:1602,267.3,364.99,21.89,31.18,3.66,0.0
20230116:1702,91.81,140.36,9.86,29.12,3.45,0.0
20230116:1802,0.0,0.0,0.0,27.09,3.52,0.0
20230116:1902,0.0,0.0,0.0,25.27,3.38,0.0
20230116:2002,0.0,0.0,0.0,23.94,3.31,0.0
20230116:2102,0.0,0.0,0.0,22.8,3.1,0.0
20230116:2202,0.0,0.0,0.0,22.03,2.62,0.0
20230116:2302,0.0,0.0,0.0,21.37,2.28,0.0
20230117:0002,0.0,0.0,0.0,20.65,2.21,0.0
20230117:0102,0.0,0.0,0.0,20.2,2.14,0.0
20230117:0202,0.0,0.0,0.0,20.19,2.07,0.0
20230117:0302,0.0,0.0,0.0,20.08,2.0,0.0
20230117:0402,0.0,1.82,1.28,20.07,1.79,0.0
20230117:0502,179.78,250.03,12.95,21.14,1.45,0.0
20230117:0602,322.89,426.57,25.09,23.54,1.38,0.0
20230117:0702,433.31,573.89,37.49,25.58,0.83,0.0
20230117:0802,511.05,689.03,49.92,27.45,0.55,0.0
20230117:0902,565.19,776.81,62.0,30.05,0.69,0.0
20230117:1002,597.66,829.4,72.56,32.0,1.03,0.0
20230117:1102,603.58,841.43,76.79,33.52,1.31,0.0
20230117:1202,588.09,815.38,70.08,34.17,1.66,0.0
20230117:1302,547.81,752.68,58.89,34.33,1.93,0.0
20230117:1402,473.95,647.13,46.66,34.4,2.0,0.0
20230117:1502,213.13,293.82,34.21,33.78,1.86,0.0
20230117:1602,263.9,367.24,21.86,32.69,1.72,0.0
20230117:1702,56.39,92.07,9.82,30.91,1.45,0.0
20230117:1802,0.0,0.0,0.0,29.15,0.69,0.0
20230117:1902,0.0,0.0,0.0,27.48,1.31,0.0
20230117:2002,0.0,0.0,0.0,26.29,1.52,0.0
20230117:2102,0.0,0.0,0.0,25.13,1.52,0.0
20230117:2202,0.0,0.0,0.0,24.16,1.45,0.0
20230117:2302,0.0,0.0,0.0,23.04,1.52,0.0
20230118:0002,0.0,0.0,0.0,22.11,1.45,0.0
20230118:0102,0.0,0.0,0.0,21.19,1.66,0.0
20230118:0202,0.0,0.0,0.0,20.86,1.93,0.0
20230118:0302,0.0,0.0,0.0,20.32,1.79,0.0
20230118:0402,0.0,0.0,0.0,20.32,1.79,0.0
20230118:0502,193.92,271.26,12.78,21.72,1.66,0.0
20230118:0602,248.42,328.99,24.93,23.78,1.03,0.0
20230118:0702,436.36,561.99,37.33,23.6,2.55,0.0
20230118:0802,314.93,407.24,49.76,24.3,2.69,0.0
20230118:0902,554.08,721.74,61.83,26.35,3.17,0.0
20230118:1002,564.84,738.2,72.36,27.24,3.72,0.0
20230118:1102,536.44,704.62,76.6,27.45,3.31,0.0
20230118:1202,615.69,808.96,69.99,28.27,3.52,0.0
20230118:1302,565.11,743.27,58.85,28.49,3.1,0.0
20230118:1402,498.6,652.37,46.63,27.87,2.97,0.0
20230118:1502,392.22,512.46,34.19,26.75,2.97,0.0
20230118:1602,280.7,374.21,21.83,24.82,2.69,0.0
20230118:1702,134.53,196.98,9.78,23.09,2.34,0.0
20230118:1802,0.0,0.0,0.0,21.67,1.93,0.0
20230118:1902,0.0,0.0,0.0,20.37,1.31,0.0
20230118:2002,0.0,0.0,0.0,19.78,1.1,0.0
20230118:2102,0.0,0.0,0.0,19.41,0.97,0.0
20230118:2202,0.0,0.0,0.0,19.14,1.1,0.0
20230118:2302,0.0,0.0,0.0,18.89,1.17,0.0
20230119:0002,0.0,0.0,0.0,18.8,1.1,0.0
20230119:0102,0.0,0.0,0.0,18.63,1.1,0.0
20230119:0202,0.0,0.0,0.0,18.51,1.1,0.0
20230119:0302,0.0,0.0,0.0,18.27,1.1,0.0
20230119:0402,0.0,0.0,0.0,18.23,1.1,0.0
20230119:0502,52.71,80.94,12.61,18.46,1.17,0.0
20230119:0602,166.95,219.54,24.77,19.21,1.66,0.0
20230119:0702,353.05,449.11,37.17,20.2,1.93,0.0
20230119:0802,506.55,649.13,49.59,21.49,2.0,0.0
