Latitude (decimal degrees):	-33.842
Longitude (decimal degrees):	18.840
Elevation (m):	216
Radiation database:	PVGIS-SARAH3


Slope: -1 deg. (optimum)
Azimuth: -180 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230103:2302,0.0,0.0,0.0,17.98,1.79,0.0
20230104:0002,0.0,0.0,0.0,17.63,1.86,0.0
20230104:0102,0.0,0.0,0.0,17.45,2.07,0.0
20230104:0202,0.0,0.0,0.0,16.98,1.72,0.0
20230104:0302,0.0,0.0,0.0,16.72,1.24,0.0
20230104:0402,6.25,18.0,3.39,16.54,1.17,0.0
20230104:0502,133.01,187.95,14.98,16.74,1.72,0.0
20230104:0602,287.85,364.61,27.06,17.23,2.0,0.0
20230104:0702,477.43,595.23,39.43,18.3,2.62,0.0
20230104:0802,639.94,807.45,51.87,19.11,2.9,0.0
20230104:0902,644.56,820.25,64.06,19.82,3.1,0.0
20230104:1002,780.92,1005.44,74.84,19.88,3.38,0.0
20230104:1102,806.22,1040.24,78.53,20.36,3.66,0.0
20230104:1202,807.96,1035.26,70.52,20.06,3.86,0.0
20230104:1302,717.1,905.97,58.86,20.18,4.07,0.0
20230104:1402,606.67,753.78,46.5,19.57,4.28,0.0
20230104:1502,275.28,346.11,34.06,19.16,4.48,0.0
20230104:1602,221.74,287.8,21.79,18.3,4.55,0.0
20230104:1702,79.54,138.96,9.89,17.32,4.34,0.0
20230104:1802,0.0,0.0,0.0,16.39,4.07,0.0
20230104:1902,0.0,0.0,0.0,15.92,3.52,0.0
20230104:2002,0.0,0.0,0.0,15.57,3.52,0.0
20230104:2102,0.0,0.0,0.0,15.04,3.59,0.0
20230104:2202,0.0,0.0,0.0,14.57,3.17,0.0
20230104:2302,0.0,0.0,0.0,14.27,3.24,0.0
20230105:0002,0.0,0.0,0.0,14.04,2.97,0.0
20230105:0102,0.0,0.0,0.0,13.75,3.17,0.0
20230105:0202,0.0,0.0,0.0,13.58,3.38,0.0
20230105:0302,0.0,0.0,0.0,13.48,3.31,0.0
20230105:0402,7.64,20.0,3.24,13.46,3.24,0.0
20230105:0502,161.43,230.98,14.84,14.03,3.86,0.0
20230105:0602,369.14,457.35,26.93,15.06,4.41,0.0
20230105:0702,509.94,621.25,39.29,16.44,4.69,0.0
20230105:0802,657.71,808.45,51.74,17.6,5.1,0.0
20230105:0902,680.07,844.18,63.91,18.32,5.31,0.0
20230105:1002,624.49,778.41,74.69,19.02,5.45,0.0
20230105:1102,601.4,750.5,78.45,19.45,5.59,0.0
20230105:1202,728.56,912.9,70.53,19.6,5.52,0.0
20230105:1302,667.55,828.25,58.89,19.15,5.52,0.0
20230105:1402,585.07,719.8,46.54,19.04,5.45,0.0
20230105:1502,443.34,546.62,34.1,18.99,5.38,0.0
20230105:1602,279.39,363.74,21.83,18.22,4.9,0.0
20230105:1702,82.45,144.07,9.92,17.25,4.55,0.0
20230105:1802,0.0,0.0,0.0,16.48,3.45,0.0
20230105:1902,0.0,0.0,0.0,16.41,3.72,0.0
20230105:2002,0.0,0.0,0.0,16.01,3.59,0.0
20230105:2102,0.0,0.0,0.0,15.61,3.38,0.0
20230105:2202,0.0,0.0,0.0,15.41,3.17,0.0
20230105:2302,0.0,0.0,0.0,15.19,2.97,0.0
20230106:0002,0.0,0.0,0.0,15.05,3.03,0.0
20230106:0102,0.0,0.0,0.0,14.7,2.9,0.0
20230106:0202,0.0,0.0,0.0,14.6,2.97,0.0
20230106:0302,0.0,0.0,0.0,14.41,2.69,0.0
20230106:0402,6.35,18.0,3.1,14.16,2.62,0.0
20230106:0502,158.12,228.99,14.7,15.07,2.9,0.0
20230106:0602,362.95,455.36,26.79,16.8,3.66,0.0
20230106:0702,544.34,672.33,39.15,18.57,4.07,0.0
20230106:0802,685.74,860.29,51.6,20.07,4.14,0.0
20230106:0902,784.77,1002.45,63.77,21.57,4.41,0.0
20230106:1002,833.68,1080.97,74.54,23.24,4.62,0.0
20230106:1102,844.58,1106.81,78.35,24.23,4.34,0.0
20230106:1202,802.15,1053.13,70.53,25.33,4.14,0.0
20230106:1302,729.72,949.76,58.92,25.74,4.07,0.0
20230106:1402,617.59,790.69,46.58,25.58,4.34,0.0
20230106:1502,458.79,583.76,34.14,24.87,4.62,0.0
20230106:1602,271.31,362.71,21.86,23.55,4.62,0.0
20230106:1702,79.59,141.99,9.94,21.93,4.07,0.0
20230106:1802,0.0,0.0,0.0,20.34,4.0,0.0
20230106:1902,0.0,0.0,0.0,19.22,3.45,0.0
20230106:2002,0.0,0.0,0.0,18.27,3.17,0.0
20230106:2102,0.0,0.0,0.0,17.43,2.97,0.0
20230106:2202,0.0,0.0,0.0,16.62,2.69,0.0
20230106:2302,0.0,0.0,0.0,15.83,2.41,0.0
20230107:0002,0.0,0.0,0.0,15.01,2.21,0.0
20230107:0102,0.0,0.0,0.0,14.24,2.28,0.0
20230107:0202,0.0,0.0,0.0,13.71,2.34,0.0
20230107:0302,0.0,0.0,0.0,13.31,2.34,0.0
20230107:0402,6.39,18.0,2.94,13.1,2.41,0.0
20230107:0502,156.87,227.98,14.55,15.02,2.34,0.0
20230107:0602,361.65,458.38,26.64,18.17,3.1,0.0
20230107:0702,535.46,677.32,39.01,21.43,2.9,0.0
20230107:0802,668.32,872.26,51.45,24.16,2.48,0.0
20230107:0902,747.44,1011.42,63.62,26.39,2.0,0.0
20230107:1002,786.97,1096.89,74.38,28.06,1.59,0.0
20230107:1102,792.27,1110.8,78.25,29.29,1.72,0.0
20230107:1202,762.21,1064.09,70.52,30.15,1.79,0.0
20230107:1302,693.28,954.74,58.95,30.6,1.79,0.0
20230107:1402,591.59,795.67,46.61,30.51,2.07,0.0
20230107:1502,441.61,584.72,34.17,29.85,2.48,0.0
20230107:1602,263.75,363.67,21.88,28.55,2.83,0.0
20230107:1702,78.55,144.04,9.95,26.63,2.69,0.0
20230107:1802,0.0,0.0,0.0,24.5,2.69,0.0
20230107:1902,0.0,0.0,0.0,22.39,2.76,0.0
20230107:2002,0.0,0.0,0.0,21.2,2.69,0.0
20230107:2102,0.0,0.0,0.0,20.11,2.41,0.0
20230107:2202,0.0,0.0,0.0,19.08,2.0,0.0
20230107:2302,0.0,0.0,0.0,18.01,1.93,0.0
20230108:0002,0.0,0.0,0.0,17.08,1.93,0.0
20230108:0102,0.0,0.0,0.0,16.34,1.93,0.0
20230108:0202,0.0,0.0,0.0,15.77,1.93,0.0
20230108:0302,0.0,0.0,0.0,15.29,1.93,0.0
20230108:0402,5.11,16.0,2.79,14.97,1.93,0.0
20230108:0502,153.82,227.0,14.4,16.9,1.66,0.0
20230108:0602,352.34,460.4,26.5,21.65,1.31,0.0
20230108:0702,514.08,679.31,38.87,25.11,0.83,0.0
20230108:0802,632.2,870.25,51.31,28.3,0.62,0.0
20230108:0902,724.02,1009.41,63.47,30.42,1.52,0.0
20230108:1002,779.47,1095.89,74.22,31.62,2.07,0.0
20230108:1102,791.11,1109.81,78.15,31.97,2.41,0.0
20230108:1202,771.03,1070.05,70.51,31.74,2.62,0.0
20230108:1302,705.74,959.7,58.97,31.0,2.76,0.0
20230108:1402,601.33,800.64,46.64,29.96,2.69,0.0
20230108:1502,447.82,588.7,34.19,28.73,2.69,0.0
20230108:1602,266.36,364.64,21.9,27.22,2.83,0.0
20230108:1702,79.41,144.0,9.96,25.14,2.97,0.0
20230108:1802,0.0,0.0,0.0,22.83,2.9,0.0
20230108:1902,0.0,0.0,0.0,21.21,3.03,0.0
20230108:2002,0.0,0.0,0.0,20.36,2.69,0.0
20230108:2102,0.0,0.0,0.0,19.71,2.34,0.0
20230108:2202,0.0,0.0,0.0,19.11,2.07,0.0
20230108:2302,0.0,0.0,0.0,18.43,1.93,0.0
20230109:0002,0.0,0.0,0.0,17.68,1.79,0.0
20230109:0102,0.0,0.0,0.0,17.07,1.66,0.0
20230109:0202,0.0,0.0,0.0,16.58,1.66,0.0
20230109:0302,0.0,0.0,0.0,16.13,1.59,0.0
20230109:0402,4.5,15.0,2.63,15.59,1.52,0.0
20230109:0502,150.09,222.96,14.25,17.06,1.1,0.0
20230109:0602,346.33,453.35,26.35,21.56,1.1,0.0
20230109:0702,521.5,673.3,38.72,23.25,1.79,0.0
20230109:0802,654.65,864.24,51.16,24.59,1.79,0.0
20230109:0902,737.01,998.43,63.32,26.12,1.79,0.0
20230109:1002,791.72,1089.88,74.05,27.71,2.07,0.0
20230109:1102,803.64,1110.75,78.03,28.89,2.34,0.0
20230109:1202,771.72,1059.07,70.49,29.57,2.55,0.0
20230109:1302,708.33,955.68,58.98,29.56,2.76,0.0
20230109:1402,601.57,792.61,46.66,28.63,2.97,0.0
20230109:1502,451.31,586.67,34.22,27.06,3.03,0.0
20230109:1602,266.2,360.57,21.92,25.15,2.83,0.0
20230109:1702,80.36,143.96,9.97,23.14,2.41,0.0
20230109:1802,0.0,0.0,0.0,21.2,1.79,0.0
20230109:1902,0.0,0.0,0.0,20.02,1.45,0.0
20230109:2002,0.0,0.0,0.0,19.41,1.24,0.0
20230109:2102,0.0,0.0,0.0,18.74,0.97,0.0
20230109:2202,0.0,0.0,0.0,18.72,0.62,0.0
20230109:2302,0.0,0.0,0.0,18.56,0.55,0.0
20230110:0002,0.0,0.0,0.0,18.28,0.55,0.0
20230110:0102,0.0,0.0,0.0,17.95,0.34,0.0
20230110:0202,0.0,0.0,0.0,17.75,0.41,0.0
20230110:0302,0.0,0.0,0.0,17.02,0.76,0.0
20230110:0402,3.91,14.0,2.47,16.57,0.9,0.0
20230110:0502,128.13,186.08,14.1,17.64,0.76,0.0
20230110:0602,245.52,317.37,26.2,19.23,1.03,0.0
20230110:0702,509.64,652.26,38.58,20.61,1.38,0.0
20230110:0802,658.48,858.23,51.02,22.34,1.86,0.0
20230110:0902,753.53,1002.38,63.16,23.91,2.21,0.0
20230110:1002,804.68,1088.86,73.88,25.36,2.34,0.0
20230110:1102,815.87,1110.72,77.9,26.41,2.48,0.0
20230110:1202,787.0,1065.0,70.47,26.95,2.62,0.0
20230110:1302,717.04,955.65,58.99,26.95,2.69,0.0
20230110:1402,611.2,797.58,46.68,26.34,2.83,0.0
20230110:1502,454.08,586.64,34.23,25.26,2.69,0.0
20230110:1602,270.95,365.61,21.93,23.93,2.48,0.0
20230110:1702,80.63,143.94,9.97,22.36,2.21,0.0
20230110:1802,0.0,0.0,0.0,20.7,2.0,0.0
20230110:1902,0.0,0.0,0.0,19.87,2.28,0.0
20230110:2002,0.0,0.0,0.0,19.19,2.07,0.0
20230110:2102,0.0,0.0,0.0,18.6,1.79,0.0
20230110:2202,0.0,0.0,0.0,17.81,1.66,0.0
20230110:2302,0.0,0.0,0.0,16.94,1.52,0.0
20230111:0002,0.0,0.0,0.0,16.25,1.45,0.0
20230111:0102,0.0,0.0,0.0,15.73,1.45,0.0
20230111:0202,0.0,0.0,0.0,15.33,1.45,0.0
20230111:0302,0.0,0.0,0.0,15.24,1.38,0.0
20230111:0402,2.33,11.0,2.31,15.23,1.31,0.0
20230111:0502,125.03,182.1,13.94,16.78,0.97,0.0
20230111:0602,329.15,433.24,26.05,21.32,0.48,0.0
20230111:0702,402.18,524.12,38.43,23.29,0.62,0.0
20230111:0802,556.79,739.51,50.87,25.47,1.1,0.0
20230111:0902,317.18,418.97,63.01,26.99,1.72,0.0
20230111:1002,304.21,403.98,73.71,28.03,1.86,0.0
20230111:1102,318.22,423.98,77.77,28.46,1.66,0.0
20230111:1202,461.22,614.76,70.44,27.89,1.72,0.0
20230111:1302,238.76,319.0,58.99,27.83,1.72,0.0
20230111:1402,568.87,756.6,46.69,27.76,1.66,0.0
20230111:1502,199.14,267.02,34.24,27.33,2.21,0.0
20230111:1602,108.29,153.03,21.93,26.14,2.69,0.0
20230111:1702,56.68,93.41,9.96,24.4,2.83,0.0
20230111:1802,0.0,0.0,0.0,22.74,2.83,0.0
20230111:1902,0.0,0.0,0.0,22.19,2.48,0.0
20230111:2002,0.0,0.0,0.0,21.82,2.07,0.0
20230111:2102,0.0,0.0,0.0,21.48,2.14,0.0
20230111:2202,0.0,0.0,0.0,21.11,1.86,0.0
20230111:2302,0.0,0.0,0.0,20.6,1.79,0.0
20230112:0002,0.0,0.0,0.0,19.97,1.72,0.0
20230112:0102,0.0,0.0,0.0,19.44,1.79,0.0
20230112:0202,0.0,0.0,0.0,19.34,1.59,0.0
20230112:0302,0.0,0.0,0.0,19.11,1.31,0.0
20230112:0402,2.25,11.0,2.15,19.54,0.9,0.0
20230112:0502,106.14,155.65,13.78,20.07,0.83,0.0
20230112:0602,38.82,64.0,25.89,21.87,2.0,0.0
20230112:0702,202.38,264.0,38.28,22.34,3.31,0.0
20230112:0802,633.79,806.3,50.71,23.09,3.93,0.0
20230112:0902,724.31,934.61,62.85,23.91,4.14,0.0
20230112:1002,725.79,941.6,73.53,24.66,4.48,0.0
20230112:1102,121.64,168.0,77.63,25.19,4.69,0.0
20230112:1202,787.25,1024.1,70.39,25.49,4.9,0.0
20230112:1302,722.76,929.65,58.99,25.1,4.83,0.0
20230112:1402,460.49,584.83,46.7,24.55,4.76,0.0
20230112:1502,451.06,571.56,34.25,23.71,4.28,0.0
20230112:1602,264.26,352.46,21.93,22.71,3.86,0.0
20230112:1702,77.95,138.83,9.95,21.22,3.24,0.0
20230112:1802,0.0,0.0,0.0,19.89,2.41,0.0
20230112:1902,0.0,0.0,0.0,18.86,2.14,0.0
20230112:2002,0.0,0.0,0.0,18.27,2.14,0.0
20230112:2102,0.0,0.0,0.0,17.66,1.66,0.0
20230112:2202,0.0,0.0,0.0,16.94,1.1,0.0
20230112:2302,0.0,0.0,0.0,16.5,0.83,0.0
20230113:0002,0.0,0.0,0.0,16.73,0.55,0.0
20230113:0102,0.0,0.0,0.0,16.43,0.62,0.0
20230113:0202,0.0,0.0,0.0,16.11,0.41,0.0
20230113:0302,0.0,0.0,0.0,15.85,0.34,0.0
20230113:0402,0.9,8.0,1.98,15.51,0.21,0.0
20230113:0502,132.09,195.44,13.62,15.88,0.34,0.0
20230113:0602,331.15,427.15,25.74,17.73,0.83,0.0
20230113:0702,514.64,656.22,38.12,19.99,1.45,0.0
20230113:0802,655.53,851.17,50.56,21.75,1.86,0.0
20230113:0902,751.78,997.31,62.68,23.27,2.14,0.0
20230113:1002,806.9,1085.77,73.34,24.58,2.41,0.0
20230113:1102,820.54,1108.63,77.48,25.44,2.62,0.0
20230113:1202,790.5,1057.94,70.35,25.73,2.9,0.0
20230113:1302,722.53,950.58,58.98,25.53,3.1,0.0
20230113:1402,618.6,797.48,46.7,24.8,3.24,0.0
20230113:1502,458.82,586.55,34.25,23.8,3.1,0.0
20230113:1602,271.5,363.5,21.93,22.73,2.83,0.0
20230113:1702,80.13,142.9,9.93,21.41,2.76,0.0
20230113:1802,0.0,0.0,0.0,19.83,2.48,0.0
20230113:1902,0.0,0.0,0.0,18.9,2.83,0.0
20230113:2002,0.0,0.0,0.0,18.19,2.55,0.0
20230113:2102,0.0,0.0,0.0,17.61,2.41,0.0
20230113:2202,0.0,0.0,0.0,17.15,2.34,0.0
20230113:2302,0.0,0.0,0.0,16.8,2.28,0.0
20230114:0002,0.0,0.0,0.0,16.57,2.14,0.0
20230114:0102,0.0,0.0,0.0,16.8,2.41,0.0
20230114:0202,0.0,0.0,0.0,16.96,2.28,0.0
20230114:0302,0.0,0.0,0.0,17.04,2.34,0.0
20230114:0402,0.0,1.0,1.81,16.89,2.34,0.0
20230114:0502,92.23,133.37,13.46,17.78,2.55,0.0
20230114:0602,260.48,333.5,25.58,19.31,3.17,0.0
20230114:0702,455.43,573.14,37.97,21.31,3.31,0.0
20230114:0802,644.73,827.19,50.4,23.36,3.24,0.0
20230114:0902,737.75,971.36,62.52,25.23,3.1,0.0
20230114:1002,781.83,1045.92,73.15,26.81,3.24,0.0
20230114:1102,804.35,1080.7,77.32,27.85,3.59,0.0
20230114:1202,775.2,1032.0,70.29,28.13,4.0,0.0
20230114:1302,711.19,931.58,58.97,27.97,4.41,0.0
20230114:1402,597.52,768.49,46.7,27.3,4.76,0.0
20230114:1502,449.94,574.51,34.25,26.0,4.97,0.0
20230114:1602,264.49,354.42,21.92,24.46,5.03,0.0
20230114:1702,76.88,136.7,9.91,22.73,4.83,0.0
20230114:1802,0.0,0.0,0.0,21.05,3.86,0.0
20230114:1902,0.0,0.0,0.0,20.07,4.07,0.0
20230114:2002,0.0,0.0,0.0,19.41,4.0,0.0
20230114:2102,0.0,0.0,0.0,18.93,3.66,0.0
20230114:2202,0.0,0.0,0.0,18.5,3.45,0.0
20230114:2302,0.0,0.0,0.0,18.13,3.31,0.0
20230115:0002,0.0,0.0,0.0,17.81,3.24,0.0
20230115:0102,0.0,0.0,0.0,17.59,3.24,0.0
20230115:0202,0.0,0.0,0.0,17.54,3.31,0.0
20230115:0302,0.0,0.0,0.0,17.46,3.24,0.0
20230115:0402,0.09,6.0,1.64,17.29,3.1,0.0
20230115:0502,134.44,205.91,13.29,18.11,3.17,0.0
20230115:0602,307.96,393.92,25.42,19.79,3.86,0.0
20230115:0702,506.15,634.18,37.81,21.79,4.28,0.0
20230115:0802,658.77,840.13,50.25,23.74,4.14,0.0
20230115:0902,745.08,975.32,62.35,25.79,3.86,0.0
20230115:1002,794.02,1063.79,72.96,27.87,3.66,0.0
20230115:1102,796.51,1074.74,77.15,28.87,3.66,0.0
20230115:1202,753.56,1014.1,70.23,29.93,3.79,0.0
20230115:1302,685.15,911.67,58.95,30.35,4.0,0.0
20230115:1402,616.33,808.38,46.69,30.15,4.28,0.0
20230115:1502,399.97,521.34,34.24,29.32,4.41,0.0
20230115:1602,143.25,198.14,21.9,27.97,4.41,0.0
20230115:1702,76.13,138.77,9.89,26.15,4.0,0.0
20230115:1802,0.0,0.0,0.0,24.09,4.28,0.0
20230115:1902,0.0,0.0,0.0,22.61,4.14,0.0
20230115:2002,0.0,0.0,0.0,21.33,3.79,0.0
20230115:2102,0.0,0.0,0.0,20.45,3.66,0.0
20230115:2202,0.0,0.0,0.0,19.73,3.52,0.0
20230115:2302,0.0,0.0,0.0,19.15,3.38,0.0
20230116:0002,0.0,0.0,0.0,18.68,3.1,0.0
20230116:0102,0.0,0.0,0.0,18.53,2.76,0.0
20230116:0202,0.0,0.0,0.0,18.27,2.48,0.0
20230116:0302,0.0,0.0,0.0,17.96,2.34,0.0
20230116:0402,0.0,5.0,1.46,17.65,2.14,0.0
20230116:0502,124.94,191.6,13.12,19.0,2.21,0.0
20230116:0602,320.76,417.15,25.26,21.08,2.28,0.0
20230116:0702,492.34,636.16,37.66,24.45,2.07,0.0
20230116:0802,620.12,825.13,50.09,27.48,1.93,0.0
20230116:0902,693.06,965.31,62.18,30.4,1.24,0.0
20230116:1002,694.22,1001.14,72.77,32.57,0.62,0.0
20230116:1102,734.25,1070.69,76.98,33.86,0.83,0.0
20230116:1202,719.24,1033.9,70.16,34.66,1.31,0.0
20230116:1302,663.43,928.52,58.92,34.87,1.93,0.0
20230116:1402,567.69,770.41,46.67,34.42,2.76,0.0
20230116:1502,426.04,568.44,34.23,33.05,3.45,0.0
20230116:1602,239.83,333.12,21.88,31.18,3.66,0.0
20230116:1702,61.91,106.72,9.85,29.12,3.45,0.0
20230116:1802,0.0,0.0,0.0,27.09,3.52,0.0
20230116:1902,0.0,0.0,0.0,25.27,3.38,0.0
20230116:2002,0.0,0.0,0.0,23.94,3.31,0.0
20230116:2102,0.0,0.0,0.0,22.8,3.1,0.0
20230116:2202,0.0,0.0,0.0,22.03,2.62,0.0
20230116:2302,0.0,0.0,0.0,21.37,2.28,0.0
20230117:0002,0.0,0.0,0.0,20.65,2.21,0.0
20230117:0102,0.0,0.0,0.0,20.2,2.14,0.0
20230117:0202,0.0,0.0,0.0,20.19,2.07,0.0
20230117:0302,0.0,0.0,0.0,20.08,2.0,0.0
20230117:0402,0.0,2.0,1.28,20.07,1.79,0.0
20230117:0502,118.37,184.5,12.96,21.14,1.45,0.0
20230117:0602,307.83,408.11,25.1,23.54,1.38,0.0
20230117:0702,477.04,629.14,37.5,25.58,0.83,0.0
20230117:0802,598.1,814.12,49.93,27.45,0.55,0.0
20230117:0902,681.68,958.27,62.01,30.05,0.69,0.0
20230117:1002,731.8,1045.74,72.57,32.0,1.03,0.0
20230117:1102,741.34,1064.64,76.79,33.52,1.31,0.0
20230117:1202,719.39,1021.89,70.08,34.17,1.66,0.0
20230117:1302,659.05,918.5,58.88,34.33,1.93,0.0
20230117:1402,547.31,748.42,46.65,34.4,2.0,0.0
20230117:1502,224.87,309.04,34.21,33.78,1.86,0.0
20230117:1602,236.97,335.16,21.86,32.69,1.72,0.0
20230117:1702,47.74,82.26,9.81,30.91,1.45,0.0
20230117:1802,0.0,0.0,0.0,29.15,0.69,0.0
20230117:1902,0.0,0.0,0.0,27.48,1.31,0.0
20230117:2002,0.0,0.0,0.0,26.29,1.52,0.0
20230117:2102,0.0,0.0,0.0,25.13,1.52,0.0
20230117:2202,0.0,0.0,0.0,24.16,1.45,0.0
20230117:2302,0.0,0.0,0.0,23.04,1.52,0.0
20230118:0002,0.0,0.0,0.0,22.11,1.45,0.0
20230118:0102,0.0,0.0,0.0,21.19,1.66,0.0
20230118:0202,0.0,0.0,0.0,20.86,1.93,0.0
20230118:0302,0.0,0.0,0.0,20.32,1.79,0.0
20230118:0402,0.0,0.0,0.0,20.32,1.79,0.0
20230118:0502,121.34,193.83,12.79,21.72,1.66,0.0
20230118:0602,243.6,323.49,24.94,23.78,1.03,0.0
20230118:0702,481.54,616.11,37.34,23.6,2.55,0.0
20230118:0802,337.68,435.93,49.76,24.3,2.69,0.0
20230118:0902,657.68,863.76,61.83,26.35,3.17,0.0
20230118:1002,665.07,876.76,72.36,27.24,3.72,0.0
20230118:1102,617.09,816.08,76.6,27.45,3.31,0.0
20230118:1202,759.95,1015.87,69.99,28.27,3.52,0.0
20230118:1302,682.96,907.5,58.84,28.49,3.1,0.0
20230118:1402,581.21,760.35,46.63,27.87,2.97,0.0
20230118:1502,420.46,545.34,34.18,26.75,2.97,0.0
20230118:1602,251.66,341.24,21.82,24.82,2.69,0.0
20230118:1702,71.67,128.48,9.77,23.09,2.34,0.0
20230118:1802,0.0,0.0,0.0,21.67,1.93,0.0
20230118:1902,0.0,0.0,0.0,20.37,1.31,0.0
20230118:2002,0.0,0.0,0.0,19.78,1.1,0.0
20230118:2102,0.0,0.0,0.0,19.41,0.97,0.0
20230118:2202,0.0,0.0,0.0,19.14,1.1,0.0
20230118:2302,0.0,0.0,0.0,18.89,1.17,0.0
20230119:0002,0.0,0.0,0.0,18.8,1.1,0.0
20230119:0102,0.0,0.0,0.0,18.63,1.1,0.0
20230119:0202,0.0,0.0,0.0,18.51,1.1,0.0
20230119:0302,0.0,0.0,0.0,18.27,1.1,0.0
20230119:0402,0.0,0.0,0.0,18.23,1.1,0.0
20230119:0502,54.14,83.04,12.61,18.46,1.17,0.0
20230119:0602,172.15,226.11,24.77,19.21,1.66,0.0
